SPEAKER	VOWEL	F0	F1	F2	F3
W	i	150.18	266	2375	3515
W	a	141.84	815	1452	2634
W	u	159.72	280	1103	2785
W	a	147.13	673	1677	2896
W	i	136.96	256	2368	3518
W	a	143.66	746	1394	2581
W	i	148.09	302	2440	3609
W	u	148.73	282	745	2786
W	a	143.42	622	1647	2887
W	a	147.99	675	1641	2809
W	i	167.30	283	2422	3587
W	u	172.57	296	872	2712
W	a	148.28	709	1628	2790
W	i	154.21	256	2425	3499
W	u	150.06	254	958	2732
W	i	166.28	278	2528	3707
W	a	133.78	742	1611	2769
W	i	139.74	270	2412	3588
W	a	138.82	797	1579	2790
W	a	143.39	734	1609	2757
W	i	146.35	343	2508	3580
W	i	149.18	285	2389	3533
W	i	157.99	387	2440	3616
W	u	156.98	291	1196	2748
W	u	171.54	262	996	2713
W	i	145.55	298	2442	3611
W	i	148.74	343	2430	3404
W	u	145.33	297	849	2728
W	a	137.99	810	1615	2678
W	a	137.86	740	1674	2799
W	a	148.42	781	1504	2695
W	i	148.29	390	2378	3511
W	u	153.36	275	817	2873
W	a	135.91	852	1610	2837
W	i	151.37	296	2497	3683
W	a	124.49	863	1473	2730
M	i	154.74	203	2020	3192
M	u	140.83	274	1209	3138
M	i	130.52	229	2033	3057
M	i	134.09	248	2038	3005
M	u	133.03	263	1091	2883
M	a	132.31	499	1464	2650
M	u	115.94	238	902	2910
M	a	108.73	656	1527	2697
M	i	111.82	233	2135	3136
M	u	118.71	253	1008	2624
M	u	120.45	235	1062	2699
M	u	116.26	285	959	2778
M	u	116.80	240	1202	2880
M	u	108.29	261	945	2648
M	a	105.49	475	1455	2572
M	i	116.48	220	2007	3096
M	u	121.73	239	989	2386
M	a	105.42	531	1616	2756
M	u	116.44	288	941	2329
M	a	101.47	695	1484	2529
M	i	109.35	210	2034	3047
M	a	100.24	638	1430	2562
M	u	109.58	255	1389	2559
M	a	106.08	531	1567	2659
M	i	104.58	222	2020	3006
M	a	108.43	653	1553	2458
M	i	110.59	246	2068	2977
M	i	107.79	422	2019	3056
M	a	107.84	513	1681	2577
M	a	103.37	675	1524	2514
M	i	114.30	215	2185	3193
M	u	108.91	234	996	2307
M	a	102.56	607	1523	2607
M	i	103.22	216	2037	3021
M	u	110.90	262	1326	2865
M	i	111.45	226	2134	3159
M	a	108.86	659	1542	2684
M	i	109.34	237	2074	2957
M	a	109.60	633	1624	2744
M	a	104.45	590	1667	2806
M	i	109.91	266	2176	2950
M	i	115.43	438	2264	3242
M	i	114.60	263	2097	3085
M	i	114.11	248	2079	2678
M	u	115.33	290	971	2352
M	i	117.51	254	2116	3040
M	i	115.04	295	2158	2695
M	u	110.70	260	666	2797
M	a	111.74	662	1498	2338
M	a	109.16	493	1771	2508
M	a	108.43	625	1445	2586
M	i	113.70	280	2144	3033
M	u	107.22	272	948	2792
M	a	103.75	539	1444	2499
M	i	107.56	222	2159	3115
M	a	106.27	655	1473	2593
M	i	147.99	223	1991	3149
M	u	125.60	260	1052	2965
M	i	112.82	229	2115	3054
M	i	130.31	252	2061	2961
M	u	126.26	249	861	2734
M	a	118.06	583	1541	2661
M	u	116.80	254	882	2791
M	a	109.47	596	1475	2540
M	i	111.00	231	2115	3045
